block,address,filename,contract,solc,status,student
13418049,0x30410fab6d367e11839c00ad93eb357e3066ada8,BetHorde.sol,BetHorde,0.8.7,untouched,
11504046,0x4a15d47087433f44d931a0dcc4161ea6d98633a8,ClaimContract.sol,ClaimContract,0.6.12,untouched,
11729023,0x72abc3278fc7e8a1e1e7a1704db785e558325480,C.sol,C,0.7.5,untouched,
11080325,0x9af62e7a5542faac11aa1a06aa30f424736b1775,DePayV1ProcessorBeta.sol,DePayV1ProcessorBeta,0.6.12,untouched,
12474389,0x82515f49309101999dbb7113971e2188e1d7a4ee,ElonMuskToken.sol,ElonMuskToken,0.6.6,untouched,
9568316,0xe9c17e98448d5d57fb15a518a98ffdbb90e8efc8,ExampleWildcardResolver.sol,ExampleWildcardResolver,0.6.2,untouched,
13012069,0x04859e76a961e8b2530afc4829605013bebd01a4,FractionsImpl.sol,FractionsImpl,0.6.12,untouched,
10434259,0x0855eaf586d78990a993402260e833135761bd09,LoanShifterTaker.sol,LoanShifterTaker,0.6.10,untouched,
10628383,0xe721b58ea43cdf950fe99c3406da3c4ad665ee6a,MakeETHGoByeBye.sol,MakeETHGoByeBye,0.6.12,untouched,
11844378,0xd459852e273ee8bce1ea9fefa1ddc85ca8e169c3,NFTRewards.sol,NFTRewards,0.7.5,untouched,
11923327,0x8b71843e8aec78ec376cbb460e218646f8fa8e80,Owner.sol,Owner,0.7.6,untouched,
10676929,0x75030baea80f1d99ef27bd44e3a29c46201f9e48,QuerySanity.sol,QuerySanity,0.6.6,untouched,
11257442,0x99331bdc872bed3fd67bd320b379fd38ab2f1ab7,RecycleFactory.sol,RecycleFactory,0.7.4,untouched,
10628128,0x67a5d6d79c64c583ac0f604b08899961dcfdc639,SelfSelfDestruct.sol,SelfSelfDestruct,0.6.12,untouched,
11653465,0xa1ddf5da5c4d05ebc3dfbbf72f984f5cd87732aa,SwapRecipe.sol,SwapRecipe,0.6.12,untouched,
12111047,0x64cbf43c40448ac0afe21a3dd3530140d3503d91,testtoken2.sol,testtoken2,0.6.2,untouched,
13119832,0xc45a3f5c584592ec595b630f5eca707a727abead,WillstDuMeinTrauzeugeSein.sol,WillstDuMeinTrauzeugeSein,0.8.7,untouched,
