block,address,filename,contract,solc,status,student
11523270,0x24f30abb6dba35a0e8aa3f990a1da565ee91efab,AaveV1FullPositionView_2.sol,AaveV1FullPositionView,0.7.6,untouched,
11517351,0x397ba854ac45317491388d88715610ba91f1edb7,AaveV1FullPositionView.sol,AaveV1FullPositionView,0.7.6,untouched,
11625912,0xaf1338246428bd659e5b62cf723155b4c2f658bb,AdoreFinanceToken.sol,AdoreFinanceToken,0.7.6,untouched,
11778893,0x81391d117a03a6368005e447197739d06550d4cd,AMMAggregator.sol,AMMAggregator,0.7.6,untouched,
12586060,0x332730a4f6e03d9c55829435f10360e13cfa41ff,AnyswapV3Router.sol,AnyswapV3Router,0.8.2,untouched,
12242619,0x765277eebeca2e31912c9946eae1021199b39c61,AnyswapV4Router.sol,AnyswapV4Router,0.8.1,untouched,
11778620,0xed8dcd8d9c465a31a153783b08c112486b5f7dda,BalancerAMMV1.sol,BalancerAMMV1,0.7.6,untouched,
13353375,0xb7fccb1726195e2f9eea0d7098d8e01e319cf4aa,BancorBondingCurve.sol,BancorBondingCurve,0.8.3,untouched,
11573524,0x73f37d4a46d99eadff35358549d9a0679c6c794d,Bitzblock.sol,Bitzblock,0.7.6,untouched,
12933823,0xf39271cb27ddc6985ff38238918ff66ec5653b2a,Burner.sol,Burner,0.8.6,untouched,
11698304,0x0666bc06fc0c4a1efc27557e7effc7bd91a1e671,CDBS.sol,CDBS,0.7.6,untouched,
12328636,0xfd45e2c2318133dfe874052150b912e6a82285d0,Cogway.sol,Cogway,0.8.3,untouched,
11787749,0x3f71d9f4938b7dd01021e1634101f998725227ce,CoopData.sol,CoopData,0.7.6,untouched,
13080721,0x22143217662334f073652da5e2f1e0ae7349240c,CROWN.sol,CROWN,0.8.0,untouched,
13884419,0xb424ca85937000cdb77d923b16ae45d0d73f7557,CxipERC721.sol,CxipERC721,0.8.4,untouched,
11796376,0xabed2d0b63b274cccd772eff18aec52ef714c695,DFOBasedFixedInflationExtension.sol,DFOBasedFixedInflationExtension,0.7.6,untouched,
11806410,0x103c70387ca7119f38d4c2ce62c1b8f4d031e13c,DFOBasedLiquidityMiningExtension.sol,DFOBasedLiquidityMiningExtension,0.7.6,untouched,
12694025,0xa8f56d0506738c7f4400ae9d8811538a85907287,DoraID.sol,DoraID,0.8.2,untouched,
11488736,0x239119c43e3cac84c8a2d45bcba0e46f528e5f77,Drip.sol,Drip,0.7.6,untouched,
11643255,0x4dbd2659ed6977d668e3249c0e789c675665490a,DTT_Exchange_v5.sol,DTT_Exchange_v5,0.7.6,untouched,
11779015,0xd5cb0ab968ad1b434a78f768fda4bdbe3823a40e,FixedInflation_2.sol,FixedInflation,0.7.6,untouched,
11779422,0xa19887d66b37501cc68c7f1ba89564755342dee4,FixedInflationExtension.sol,FixedInflationExtension,0.7.6,untouched,
11791723,0x308608ad6351a168f254b689d353b7da37f92aea,FixedInflation.sol,FixedInflation,0.7.6,untouched,
12176119,0x8788ea1d181c872fbb5c376f3dc7b95a92eb4ecc,GMMToken.sol,GMMToken,0.8.2,untouched,
11642796,0x60c66718a90f1097cd3155baa156df29cd8fcf20,HOLDv3.sol,HOLDv3,0.7.6,untouched,
13235528,0xd19e2462f37835a39503917f5556cb76fa8bfa7a,IMETACoin223Token_13.sol,IMETACoin223Token_13,0.8.7,untouched,
11690178,0x0e18c19b05afc0dfc86947e7e7bed9c1e7f15552,Incentives.sol,Incentives,0.7.6,untouched,
