block,address,filename,contract,solc,status,student
13369414,0xa050ebe34be464902f7e0f7f451f4b5253d57114,AaveStrategy.sol,AaveStrategy,0.8.7,untouched,
13228274,0xc1582b6d559bdf7a45b4071c8e2ee662edd56df8,Baal_2.sol,Baal,0.8.7,untouched,
13247918,0xeeab15f5268923b0e8b286ccc78986366a54c99f,Baal.sol,Baal,0.8.7,untouched,
13468840,0x1e9b3478293e96137b7c326e0983a26e446fc8b2,BloodMoon_2.sol,BloodMoon,0.8.7,untouched,
13449676,0xdf8adf72b8ffd03c72145093c69ca4b676533004,BloodMoon.sol,BloodMoon,0.8.7,untouched,
13260011,0x371c7ea454628bdcec59fa5af4d0180f80cb6bc6,BridgeTest.sol,BridgeTest,0.8.7,untouched,
13229102,0xc321aa2cb7a0336aa829ea153b4ea422f5d806c4,BuddyBuddyTags.sol,BuddyBuddyTags,0.8.7,untouched,
13612346,0x7f651fa68337208ed54e92dde8a52c5d8b629a5c,BuyBack.sol,BuyBack,0.7.6,untouched,
13468949,0x25dd7eda5ffbce21286f93a0032fa8304ef94129,Controller.sol,Controller,0.8.7,untouched,
13461448,0xa4631a191044096834ce65d1ee86b16b171d8080,CreatureToadz_2.sol,CreatureToadz,0.8.7,untouched,
13458377,0x17828d4755c5b13f40948fb1e43d4db6135630ca,CreatureToadz.sol,CreatureToadz,0.8.7,untouched,
13258947,0xa5b7f12346048e8a3e780dbeb4c2f469be8ffcef,CryptoManga.sol,CryptoManga,0.8.7,untouched,
13849624,0x71901afb37d8df863b04d18a553e43490d27f946,DAO.sol,DAO,0.8.9,untouched,
13287575,0x2bb3a198be77ef9b14e3fa1d58f2743328982b59,DwarfsGirls.sol,DwarfsGirls,0.8.7,untouched,
13438319,0xae51c192e73fbeafa0e2b9e9cc6c0d009b8f799e,ERC1155_2.sol,ERC1155,0.8.7,untouched,
13406811,0xa803144e27aef2ac95e7ab49214bd2f802c883dd,ERC1155.sol,ERC1155,0.8.7,untouched,
13526792,0x2f411bee0481b1e138d9e7d4b2752da34cd764eb,GetNFTs.sol,GetNFTs,0.8.9,untouched,
13454961,0xabc2df9f28c3275d9fb7be7e1f7e5734c8a13df0,HorrorsOfChaos.sol,HorrorsOfChaos,0.8.7,untouched,
13224241,0x10010078a54396f62c96df8532dc2b4847d47ed3,Hundred.sol,Hundred,0.8.7,untouched,
13157693,0xf13ca7396a844929b34ecf6ff8555fef1c1efb62,KronFarm.sol,KronFarm,0.8.7,untouched,
13554805,0x9e2bd457784797eecc8a47bd18cf8300e0237e29,LeedoNftVault_2.sol,LeedoNftVault,0.8.9,untouched,
13555663,0x0866f2af4cf0b601a1a2c4ebd56cbb954a1cf004,LeedoNftVault.sol,LeedoNftVault,0.8.9,untouched,
13291670,0x77777701256079d9f8f1a339ee2d4bc1107aa9e0,MouseTrap3.sol,MouseTrap3,0.8.7,untouched,
13553145,0xe9783766fc6a49587e2c7ebb9ea16adb4da2581b,MultiSend.sol,MultiSend,0.8.7,untouched,
13480386,0x8a50aad065bed0f138bcf3ce6ccbae87748ef2a7,MultitransferERC721.sol,MultitransferERC721,0.8.9,untouched,
13800230,0xf766d873d7548c15c51703dafcf88dcdb068f9f4,NFT_2.sol,NFT,0.8.9,untouched,
13792248,0xb91d89997e5356a3bb0c33908efc80f12241bc85,NFT_3.sol,NFT,0.8.9,untouched,
13800074,0x4cec2ca9cc2dd7e458114b408635a07511c52a45,NFT.sol,NFT,0.8.9,untouched,
13900613,0x8744cd468a3d309ac8589bbb24f8ef79d2d723eb,OpenDAOCombined_2.sol,OpenDAOCombined,0.8.9,untouched,
13965912,0x41cbac56ea5ec878135082f0f8d9a232a854447e,OpenDAOCombined.sol,OpenDAOCombined,0.8.9,untouched,
13719381,0xb63e0ecd47eb4eddfd39c86c21f123ef354b12ce,Project.sol,Project,0.8.9,untouched,
10103654,0xb00ec297c3036de1e8200471fff482441b9d1508,PROOF_2_4.sol,PROOF_2_4,0.6.6,untouched,
10107741,0x15eb734c0a51b620acf918e96de9b45b6346307b,PROOF_2_5.sol,PROOF_2_5,0.6.6,untouched,
10115663,0x74f9595874b595c7a5af9cf78ac051c2e7387173,ProofCoin.sol,ProofCoin,0.6.6,untouched,
13259153,0x6b27927932951c703bd54b477560aa6a552d2b62,Scatter.sol,Scatter,0.8.7,untouched,
13443830,0xb686368f3f0fe5d5012c434896c81ac4c741bfb9,Squareka.sol,Squareka,0.8.7,untouched,
11718680,0xb2b87e4bd322298dd83ba53b7b292740328d0c03,StakeHelper.sol,StakeHelper,0.6.12,untouched,
13828722,0xd459d1dc2a1e2c74c1d95d68022db6228e133916,SuperGapes.sol,SuperGapes,0.8.9,untouched,
10072197,0xd9f4ad0edc20ecf3a6ae2994a2958d09701923ce,Token.sol,Token,0.6.6,untouched,
13571594,0xafcdb040d5942bd89c7e6c429a32cafc114d3505,TokenTransfer.sol,TokenTransfer,0.8.7,untouched,
13337879,0x95fd813dfe7e97301fba1736232ee4d6a45f10d2,UniswapV2Router02.sol,UniswapV2Router02,0.6.6,untouched,
13384253,0x4cd48854f5099e671081fc14f74e51da897c6b41,WrappedNumberBoard.sol,WrappedNumberBoard,0.8.9,untouched,
