block,address,filename,contract,solc,status,student
13296651,0xdf5e2f37408c2e885b24ccebd77572fe573e5f92,AlienClub.sol,AlienClub,0.8.7,untouched,
13233086,0xfa12fae65134a8f2041a68b88a253d23e7914804,boncuk.sol,boncuk,0.8.7,untouched,
13303535,0x106a268246568537deb2672f38c42c8ff31852f4,booncuk.sol,booncuk,0.8.7,untouched,
13401871,0x399104c5d8e98e62349716eeed1ae521d602bd4a,CryptoAgainstSociety.sol,CryptoAgainstSociety,0.8.7,untouched,
13111808,0x3c77065b584d4af705b3e38cc35d336b081e4948,discreetNFT_2.sol,discreetNFT,0.8.7,untouched,
13149611,0x5c2afed4c41b85c36ffb6cc2a235afa66c5a780d,discreetNFT.sol,discreetNFT,0.8.7,untouched,
13192612,0xe9d2fe69558fc1819ae2971e68f3615bda6efa1e,EarnETH.sol,EarnETH,0.8.7,untouched,
13224393,0x15cb846c02c3b908e66d586ac827a3e020e71137,EthereumCash.sol,EthereumCash,0.8.7,untouched,
13672968,0x0cd022dde27169b20895e0e2b2b8a33b25e63579,EverRise.sol,EverRise,0.8.8,untouched,
13118747,0x04c0567cdbb51c3a9b1c907a56a5eda0edeebf71,extraDiscreetNFT.sol,extraDiscreetNFT,0.8.7,untouched,
13173672,0xf7dd746a613fb6362d44ecedeb743f62ade6c3aa,FIFTYONEFIFTY.sol,FIFTYONEFIFTY,0.8.7,untouched,
13221465,0x12bafa32c73c6b7f0c00b36b3ba6d9416b163c59,FitCoin.sol,FitCoin,0.8.7,untouched,
13220071,0x36fd796f7afd47de870e86a52b1a75b1557399f3,FlokiMusk.sol,FlokiMusk,0.8.7,untouched,
13103949,0x84454db4eb1c1eddc9044740a903d0af1cfeed88,FTPDeployer.sol,FTPDeployer,0.8.7,untouched,
13168649,0xb0b29fd65eb2e6c5417b03acfe9841406926bb3a,GanjaToken.sol,GanjaToken,0.8.7,untouched,
13255595,0x3f320402f623135898826f9874d6c2cd28aa5858,HashGlyphs.sol,HashGlyphs,0.8.7,untouched,
13698888,0x5ca9ed6c51c674fae362a0a6102dd16b0c2e1793,IXPanthers_2.sol,IXPanthers,0.8.9,untouched,
13708967,0x959d00fdcaa75d27e0d520b545a0d566f13527f4,IXPanthers.sol,IXPanthers,0.8.9,untouched,
13950761,0xa1626ef90518639098eb92fd57ed08126d57640f,KongIsland.sol,KongIsland,0.8.9,untouched,
13711516,0x4549ad11a0f37b3880d5bb4e54e45537de41577d,KONGS_2.sol,KONGS,0.8.9,untouched,
13950743,0xa353f30c88e2717b9f4584e9f1f582ada6bb9d8c,KONGS.sol,KONGS,0.8.9,untouched,
13800067,0x345dadb10a200f10814ad8523fca0f2d958c3370,KORI.sol,KORI,0.8.9,untouched,
13170382,0xec92053b73405a70cc8ad44fbd1f5bdadb9d5d18,Letters.sol,Letters,0.8.7,untouched,
13428950,0x0136f17cd77b4889298b1705a732f3eba4ee9083,LuckyCatz.sol,LuckyCatz,0.8.9,untouched,
13387552,0xe0aee745b22c522de621f826a9453f534808dfd0,MemeCoinUniverse.sol,MemeCoinUniverse,0.8.7,untouched,
13158327,0x8510b7b968f6664136f557b079ce79f72d5b4aab,MessageToMartians.sol,MessageToMartians,0.8.7,untouched,
13111337,0xd3fd80fb9b45e949c985a140038dd9355d7d2a18,MidasSilver.sol,MidasSilver,0.8.7,untouched,
13571653,0xad19b3a8984fa82f37198dbcbe111fcb46306cdb,MinterSuite.sol,MinterSuite,0.8.9,untouched,
13277962,0x166aeee931f1933da41273d0a76d8b23dca3c196,MouseTrap.sol,MouseTrap,0.8.7,untouched,
13368016,0xa088ac5a19c28c882d71725c268244b233cffc62,MuleSquadNFT.sol,MuleSquadNFT,0.8.7,untouched,
13254473,0x45cef1cf7ce1c2217f123242632d5812fd10d74d,NestMining.sol,NestMining,0.8.7,untouched,
13131847,0x9b4556ec2f1e92c10c57d6f58479112fae34ded3,PEPETH.sol,PEPETH,0.8.7,untouched,
13115862,0xe825020e2f60331fe86a61b9ad15e123a45b25a6,Pitquidity.sol,Pitquidity,0.8.7,untouched,
13717023,0x2e65c91716fe7eabfb0c5c78e3447105edabc8cb,PRINT.sol,PRINT,0.8.9,untouched,
13445890,0xb408593e551cf1b6835b5d36c06528c56b158833,RotatedToadz.sol,RotatedToadz,0.8.7,untouched,
13070277,0x19b1ebed784a86ed33c421c359a6ef4a49154a39,ROTTSCHILD.sol,ROTTSCHILD,0.8.7,untouched,
13774617,0x4ff346e9b7a278569230bbffdd5a50ffa3c8701d,SHERMONGOOSE.sol,SHERMONGOOSE,0.8.9,untouched,
13540140,0xddf825aa40aba689e040fd9be863573999314773,SHITZUINU.sol,SHITZUINU,0.8.9,untouched,
