block,address,filename,contract,solc,status,student
13774783,0x47bb42cbf4d42952037667a139d5e290ea06aab3,BabyMongoose.sol,BabyMongoose,0.8.9,untouched,
13863088,0x73fe03fdc3d47ea136062561522e2250c0c5bdf7,BabyVLaunch.sol,BabyVLaunch,0.8.9,untouched,
13807055,0xa1028b5dc732b4db0ac6d2bc1722b6295146aa9f,BoomerSenatorKaren.sol,BoomerSenatorKaren,0.8.9,untouched,
13859147,0xa8b32c3a395c2c294181ab56a1b9b8948b35e5c6,BulldogsStaking.sol,BulldogsStaking,0.8.9,untouched,
13773022,0xefdebbe4f567a74c7be94704c636b30d65e52fb3,DemMongooseCapital.sol,DemMongooseCapital,0.8.9,untouched,
13521991,0x4a859ad2e94004dbd65ad75b26719f289370083f,DepositRaffle.sol,DepositRaffle,0.8.9,untouched,
13660935,0x2c4f8822b0cc6ce79ea0c12f8935e3ce18629ffa,ETINU.sol,ETINU,0.8.9,untouched,
13882770,0xc5e38a0baea2d4841a3629bcac2c8699cbeccec5,Fruition.sol,Fruition,0.8.9,untouched,
13375026,0xca96dcc988ec155a30eb78f45fccb968e2ebf5fd,GhostfaceShiba.sol,GhostfaceShiba,0.8.9,untouched,
13964458,0x070f37f008ff6f6058c3e7753be9a25dc7677f6d,HedgeOptions_2.sol,HedgeOptions,0.8.10,untouched,
13452511,0x92e33a95a935c610172ba055cd2456788789f4dc,HedgeOptions_3.sol,HedgeOptions,0.8.9,untouched,
13472266,0xb5f382ffe3895350e4a41e476969d826c9ac1b1a,HedgeOptions.sol,HedgeOptions,0.8.9,untouched,
13457081,0xe77360d6cf4ccf2cb93df2ea15ef888f760f5a73,HedgeVaultForStaking_2.sol,HedgeVaultForStaking,0.8.9,untouched,
13408554,0x01ffb51da9bf237fc6ddb7940dd7edc859dbfe82,HedgeVaultForStaking.sol,HedgeVaultForStaking,0.8.9,untouched,
13881293,0xcdbdf7eafc7e44489b3152f9fc33b938ebcfd2c9,Invisible.sol,Invisible,0.8.9,untouched,
13711516,0x4549ad11a0f37b3880d5bb4e54e45537de41577d,KONGS.sol,KONGS,0.8.9,untouched,
13800067,0x345dadb10a200f10814ad8523fca0f2d958c3370,KORI.sol,KORI,0.8.9,untouched,
13554805,0x9e2bd457784797eecc8a47bd18cf8300e0237e29,LeedoNftVault_2.sol,LeedoNftVault,0.8.9,untouched,
13555663,0x0866f2af4cf0b601a1a2c4ebd56cbb954a1cf004,LeedoNftVault.sol,LeedoNftVault,0.8.9,untouched,
13429541,0x9aebdb8dbf26bcb66d877641cc145487caccd864,LuckyCoin.sol,LuckyCoin,0.8.9,untouched,
13770329,0x346ee4296e07d9687a7d95b851901e78142375a1,MILFDAO.sol,MILFDAO,0.8.9,untouched,
13770363,0x010f8086082b25e2b05d88c070ea1a12d4edd089,MongooseInu.sol,MongooseInu,0.8.9,untouched,
13679069,0x9a9adb575118c3654504c09eb4ec7c5cee1af701,PandaStaking.sol,PandaStaking,0.8.9,untouched,
13717023,0x2e65c91716fe7eabfb0c5c78e3447105edabc8cb,PRINT.sol,PRINT,0.8.9,untouched,
13716738,0xda3cca6abc13b7d1cb09a6bdfa0e89c1336647cd,Purchasing.sol,Purchasing,0.8.9,untouched,
13774617,0x4ff346e9b7a278569230bbffdd5a50ffa3c8701d,SHERMONGOOSE.sol,SHERMONGOOSE,0.8.9,untouched,
13872494,0xcb5fdf7821e9aa10182d178a5d7987d1119868cc,SOSInu.sol,SOSInu,0.8.9,untouched,
13383217,0xbe5c953dd0ddb0ce033a98f36c981f1b74d3b33f,SquidGameCard.sol,SquidGameCard,0.8.9,untouched,
11779787,0x592fbe31ff45f769bd077c332c40c71e32141634,Staking_10.sol,Staking,0.6.12,untouched,
13414995,0x8fe9cd53496861b72fbcf0f48a7b6c362d04de05,Staking_11.sol,Staking,0.8.7,untouched,
12332540,0x11fe61999d17cc5db98cae0de6401b35268d2ced,Staking_12.sol,Staking,0.8.1,untouched,
13698462,0x0a8011b615c1cb832209cd8265dd90a4a5d7ecaa,Staking_13.sol,Staking,0.8.0,untouched,
11081775,0x4d1c6fe8cce907ac9d884b7562452467f5c7ea3f,Staking_2.sol,Staking,0.7.3,untouched,
11068206,0x5fc32b4ae08010bb332f0d42fa24ff81a7c7a501,Staking_3.sol,Staking,0.7.3,untouched,
11061460,0x351bac612b50e87b46e4b10a282f632d41397de2,Staking_4.sol,Staking,0.6.8,untouched,
11617800,0x136193485a8f4870f31b864429a72a9037a1fce2,Staking_5.sol,Staking,0.6.12,untouched,
11605850,0xfd82cdf5a0212a5c838d7a69f43ceb4a624ad7ef,Staking_6.sol,Staking,0.6.12,untouched,
11506195,0xa8177d1860cfa77ce210c8003a1c1cd6124023ec,Staking_7.sol,Staking,0.6.12,untouched,
11506176,0xed06cae60b8ef5ebbcc4e0759d4a34edb674e45b,Staking_8.sol,Staking,0.6.12,untouched,
11506182,0xe203639d78533c831b98390f34c78a46660abc2a,Staking_9.sol,Staking,0.6.12,untouched,
12954580,0xe19b9c0ef48c23301a2ff024d695651c9d1441d8,Staking.sol,Staking,0.7.5,untouched,
