block,address,filename,contract,solc,status,student
11675583,0x4cce20259966a54369d742f0322ec37f2451a418,BBC.sol,BBC,0.6.12,untouched,
11656078,0x767cbec0e4956bb51825d83ff2bcbfaf21a2ba26,BIT.sol,BIT,0.6.12,untouched,
10470921,0x9df4b4064e17e0628a6e2575123ab397f57be506,BuyAdapter.sol,BuyAdapter,0.6.8,untouched,
13704128,0x70a49f7fec03c5c4d26c2b63a1aeb4d7536b54ba,CapsToken.sol,CapsToken,0.7.0,untouched,
12973396,0x220524bdf02ccfdf009f47ad4e483439ff136a9c,CrazyCrows.sol,CrazyCrows,0.7.0,untouched,
10119928,0x000000001a1f402e8e32f1faac83692266167b26,DeadSender.sol,DeadSender,0.6.8,untouched,
11427602,0x6dc4148202b12495caddb86a51ad1788e0b47990,DEFIBASESale.sol,DEFIBASESale,0.6.12,untouched,
11353711,0xa202d5b0892f2981ba86c981884ceba49b8ae096,DigitalaxGenesisStaking.sol,DigitalaxGenesisStaking,0.6.12,untouched,
11361213,0xa0d1345244c89b5574ba50bd6530d4ebd237e826,DigitalaxLPStaking.sol,DigitalaxLPStaking,0.6.12,untouched,
12374742,0x27abc67e72b077cef3639109f6a4f9178f8bc1cb,DistributorOwned.sol,DistributorOwned,0.7.6,untouched,
11576290,0x9efa1d722fe8a008e261e12c06fe0d94016c2fdd,DYNAMIC_PROTOCOL.sol,DYNAMIC_PROTOCOL,0.6.12,untouched,
11308962,0x210f342802a95be9e8cc371961f23524a3d426e7,FaasPoolProxy.sol,FaasPoolProxy,0.6.12,untouched,
11462808,0x71661297e9784f08fd5d840d4340c02e52550cd9,FaaSRewardFund.sol,FaaSRewardFund,0.6.12,untouched,
13299162,0x69284411d0683b002fad43ec066abe207c4ee397,FounderVault.sol,FounderVault,0.8.2,untouched,
12331493,0x66a3c1809a53fb3ad938bf9c1e96ee84ac0da4a7,GazeLPStaking.sol,GazeLPStaking,0.6.12,untouched,
11590280,0x8f67838060b25bbacb917ec349cc825ec3a2b55c,GOF.sol,GOF,0.6.12,untouched,
11406285,0x882017f6e83d9d64d3598e61f7071aec8d400938,LaunchContract.sol,LaunchContract,0.6.12,untouched,
12756671,0x2cc4a6c6d5ff183d7e3c7e33e9bc10d55bdbaea8,LockedDeal.sol,LockedDeal,0.6.12,untouched,
10428156,0x56be8c403e511ddf179d35eb3a9fb0d0ff118de7,MarketAdapter.sol,MarketAdapter,0.6.8,untouched,
13902330,0x91d9df372665b9d3881b15997189a4b8fa7f3f29,Marketplace.sol,Marketplace,0.8.11,untouched,
13122785,0x984ac9911c6839a6870a1040a5fb89dd66513bc5,MightyManatees.sol,MightyManatees,0.7.0,untouched,
13704163,0x59e30dc53da642c8c2a905693fe02aadb34bcbf9,OGMilkCaps.sol,OGMilkCaps,0.7.0,untouched,
11427197,0x4b05cc8c9829bc594e0437c74aef56e17cf8ba23,PreSale.sol,PreSale,0.6.12,untouched,
10151760,0x3904be4bfd2e0b864a0938e8db9eb2ae35af91f2,Reverter.sol,Reverter,0.6.6,untouched,
12973396,0xa736589e0f0dca4aaa47972546637cc802c981df,SaleManager.sol,SaleManager,0.7.0,untouched,
13902835,0xb563cf8aec51ad5bc5c23b17c7677faad5e7a2bf,SignatureBasedPeerToPeerMarkets.sol,SignatureBasedPeerToPeerMarkets,0.6.12,untouched,
11387318,0xd8186d1c1ab9f637dbb0216fa384a1a816889105,SpaceMinePresale.sol,SpaceMinePresale,0.6.12,untouched,
11569894,0x718141de19e51ca6e704c4b9346608236c00b781,SUSF.sol,SUSF,0.6.12,untouched,
12756565,0xa46127b76d78cbf8a9d498d31a49eb29d13c64a0,ThePoolz.sol,ThePoolz,0.6.12,untouched,
11504528,0x665a6b80208a1f8eccb1ecb6d0271dde910c9ef1,UNIF.sol,UNIF,0.6.12,untouched,
11573094,0xf4fe39c99a31555fcd8409fbcb8d218b31c00632,YingYangBase.sol,YingYangBase,0.6.12,untouched,
