block,address,filename,line
10854145,0x6ea18b68de0c06e7f402ae45f68b1df8199a2fc9,BigBag.sol,"        require(address(this).balance == 0, transfer is not complete);"
11495006,0x2fb4dbbc7f446ae52b624aa065985f9043a270b7,Blower.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11836441,0x5d3719ef1173dd99ba0db6ae4cbc24d67e67cfba,BurnTheBuffett.sol,        if(accounts[msg.sender].balance == 0 ) // first time staking
13809707,0x5c671b7ea7fc0633fb7fc3df046deb38a4f3cc44,CallistoBridge.sol,                if (!success && balance == address(this).balance) { // double check the coin was not spent
10266090,0x3541cd8ef60f141f32c2de592ceb8873b41bebd0,Charity.sol,		if (msg.value == address(this).balance) {
13403950,0x08dba2e03ad77780ece3aeec5b416fa691af9256,Clarity.sol,        assert(address(this).balance == 0);
11299181,0xa83ff602675beca077093049ddd3b7aa5e42da2a,Corlibri_Token.sol,"        require(address(this).balance == 0 , Transfer Failed);"
12863932,0xcd223812722faf45848a431a6e0387de7ffbc2b2,CRYPTINIES.sol,        assert(address(this).balance == 0);
12551037,0xd59a7be7385a906887d8546e0ef0e99e1ae510a5,CYAN.sol,"        require(address(this).balance != 0, Currently no ETH in CYAN.);"
10997368,0xb944b46bbd4ccca90c962ef225e2804e46691ccf,Decore.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11433346,0x3aa5f749d4a6bcf67dac1091ceb69d1f5d86fa53,DeflectProtocol.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11053760,0x20355776b48364602f62476013be63599d931118,DFCore.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11385774,0x70a6d0d1561ba98711e935a76b1c167c612978a2,DragonflyToken.sol,"        require(address(this).balance == 0 , Transfer Failed);"
12940450,0x942c63e6784ffc20be46b7b9651c66d99740700b,EerieElves.sol,        assert(address(this).balance == 0);
13802998,0xebfd9cd78510c591eda8735d0f8a87414ef27a83,EmissionsController.sol,            if (dialData.balance == 0) {
10971976,0xe0e4839e0c7b2773c58764f9ec3b9622d01a0428,ENCORE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11088278,0x52a96011f1de43583f3a79f058fd37b260b0b534,epicore.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11163016,0x9d37057489ec025234d365287afa6df80869059a,FANC.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11205881,0xe1c94f1df9f1a06252da006c623e07982787cee4,fuel.sol,"        require(address(this).balance == 0 , Transfer Failed);"
13993714,0xfc4fb251240fbc048909347004f81d88907b59d4,GhostClub.sol,        assert(address(this).balance == 0);
10983794,0x5900e9c1299851c9dede85ea95ed2b33d31c6b48,HADES.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11132929,0xa24eca6062d9b90de5e9f568f70c29a6c4f5f17f,KERNEL.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11036330,0xa866f0198208eb07c83081d5136be7f775c2399e,KORE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11792582,0xe6d4544f90da3e9611ea3b711df27f336cb41e2d,LionKing.sol,        if(accounts[msg.sender].balance == 0 ) // first time staking
11746998,0xcb334a89e79499b16fae21f40cd1561fb092245f,LotteryToken.sol,        if (lotteries.length == 0 || userBalance.balance == 0) {
12770643,0x9f7d29dbcf524b73ed923682314d73d8b264246e,MEXNFT.sol,        return size > 0 || _addr.balance == 0;
11317872,0xbc392592b448720add99a30cd8a35cd76063e953,microCORE.sol,"        require(address(this).balance == 0 , Wrap Failed);"
11190513,0x566b760581eaa09276af44187f7fcd26524d0995,miniCORE.sol,"        require(address(this).balance == 0 , Wrap Failed);"
10997383,0x05c77eae36bb6178faddb958b51bc37cc025ab82,MushieV2.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11125556,0x12b28e6fffa7ff813b15b597d894d5ef5b0b7428,NANOCORE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
12819683,0x175695cd35e021b6f9dea64df6ace9ecfc43fb0b,PastryChef.sol,    require(_addr != msg.sender && activity[_addr] == false && _addr.balance != 0);
9448853,0xae26a1488c38d187ff2f52ae59158edbedcb4069,Pathogen721.sol,        if(victim.balance == 0) return victim_inactive;
11646198,0x3e33995883e5ab9911973c8f1023b82363f5e2ed,PORN.sol,"        require(address(this).balance == 0 , Transfer Failed);"
13022720,0x02560112988e2495261b8ff6f9dad64ee566a324,PulsesOfImagination.sol,        assert(address(this).balance == 0);
11047417,0xed0a54dc606272643790498a9f4fbb1defdeb349,RCORE.sol,"        require(address(this).balance == 0 , Wrap Failed);"
13404806,0xbd70eeab519880994bd265a4175e51cebf739196,ReflectiveCollective.sol,"            address(this).balance != 0,"
12289212,0xe65431431a1c5171be0cd88ee9f55611f06fe883,SmartFreezingContract.sol,"        require(_freezingInfo.balance == 0, Already froze tokens);"
11259740,0xeaec893cbf019e8b44251f642904fa86ab59fd5c,SocketLGE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11288365,0x7a3d5d49d64e57dbd6fbb21df7202bd3ee7a2253,TCORE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
10964278,0xa3042e8892818e8f9b6bb620e40f18a19dc296ad,TokenTimeLock.sol,"        require(balanceOf[beneficiary].balance==0,repeat lock);"
10564729,0x50b2649b36f138aff008a9fc159867317a7a9b6a,TokenVesting.sol,"        require(vest.balance == 0, TokenVesting #createVesting: vesting for beneficiary already created);"
10704092,0xce25b4271cc4d937a7d9bf75b2068a7892b9961d,UnipumpDefaults.sol,"            require (address(this).balance == 0 && IERC20(WETH).balanceOf(address(this)) == 0, Already initialized);"
12201449,0xb5c70ac5147ef7dbb060382f7a5c724c2bef070d,UniswapV2Exchange.sol,        if(address(this).balance == 0) { return amounts; }
12201449,0xb5c70ac5147ef7dbb060382f7a5c724c2bef070d,UniswapV2Exchange.sol,        if(address(this).balance == 0) { return amounts; }
13164972,0xd03eef93f22a952dadb1fc06e102f0732823bc22,UnknownTrajectory.sol,        assert(address(this).balance == 0);
11070762,0x68f1b730614216e4e7c5205fe4862096796aac38,upcore.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11225375,0xb97faf860045483e0c7f08c56acb31333084a988,Vanilla.sol,        if(accounts[msg.sender].balance == 0 ) // first time staking
12909300,0xf65d8f4a5c7956f40be2eae8171d62a6c97fab9c,WavesOnChain.sol,        assert(address(this).balance == 0);
11027699,0xb244ac0f3ee2e9cae5dfdde5dab8d49fa467e1a9,XCORE.sol,"        require(address(this).balance == 0 , Transfer Failed);"
11524834,0x933817ba5dac86969f399998b87282189f28d3d1,YFEED.sol,        if(accounts[msg.sender].balance == 0 ) // first time staking
