block,address,filename,contract,solc,status,student
13353375,0xb7fccb1726195e2f9eea0d7098d8e01e319cf4aa,BancorBondingCurve.sol,BancorBondingCurve,0.8.3,untouched,
12979903,0x488a85d21ac95c9bb0cdaa0d2bfa427fcea88d1e,BoredPunkYachtClub.sol,BoredPunkYachtClub,0.8.4,untouched,
12344377,0xa9f237aee1b3bf78e1a93b8b5067619765c4dcba,CarbonRainDrops.sol,CarbonRainDrops,0.8.3,untouched,
12872656,0xf2c47c8e77cef9d9dd17940f76c8de3f7b6ba9cd,Ciphertek.sol,Ciphertek,0.8.4,untouched,
13997861,0x3d01ae38be6d81bd7c8de0d5cd558eab3f4cb79b,DebtLockerInitializer.sol,DebtLockerInitializer,0.8.7,untouched,
12547015,0x358ab9ae9eb7981b9f617427dcc1e302b3979e74,EATCrowdsale.sol,EATCrowdsale,0.8.4,untouched,
12690345,0x74d8e56924909731d0e65f954fc439fa04634a61,ElementixExchange.sol,ElementixExchange,0.8.4,untouched,
12690325,0x87f8388195728e9497aa11715a352472984607a2,ElementixProxyRegistry.sol,ElementixProxyRegistry,0.8.4,untouched,
12690335,0x9b49ee1b204f62fc2aa1a88f267c2cf815c28755,ElementixTokenTransferProxy.sol,ElementixTokenTransferProxy,0.8.4,untouched,
13260342,0x0b9e8415f47da353ccc7ad58234321f50d49063a,Emeejis.sol,Emeejis,0.8.6,untouched,
12690336,0x0a777544c3ee5c21a49512d67929c664554ed3ed,ExchangeCoreLogic.sol,ExchangeCoreLogic,0.8.4,untouched,
13216739,0x4794df494a53ea51f654b93b93d61c09b9589f15,GmErc721.sol,GmErc721,0.8.7,untouched,
13692145,0xef80f6be077ea255355a951b131269a2298e56cc,Headz.sol,Headz,0.8.2,untouched,
13997873,0xcba99a6648450a7be7f20b1c3258f74adb662020,MapleLoanInitializer.sol,MapleLoanInitializer,0.8.7,untouched,
12915199,0xbbd900e05b4af2124390d206f70bc4e583b1be85,MintySwapToken.sol,MintySwapToken,0.8.6,untouched,
13495630,0x59c67e4845a8d693113d0814758ba1e6153bb36e,Presale.sol,Presale,0.8.7,untouched,
13353380,0x17ef4dcebd29829fd3ca3d09d300ee33e37771e3,ProductTokenV0.sol,ProductTokenV0,0.8.3,untouched,
